"weather_date","weather_tavg","weather_tmin","weather_tmax","weather_prcp","weather_snow","weather_wdir","weather_wspd","weather_wpgt","weather_pres","weather_tsun","station"
"2015-01-01",0.3,-2.1,4.4,0.0,"0.0",246.0,27.7,,1019.4,,"74486"
"2015-01-02",4.1,1.7,7.2,0.0,"0.0",267.0,22.0,,1023.5,,"74486"
"2015-01-03",2.5,-1.0,8.3,23.9,"0.0",,14.8,,1031.5,,"74486"
"2015-01-04",8.5,6.1,12.8,11.9,"0.0",,16.2,,1011.0,,"74486"
"2015-01-05",6.1,-4.9,10.6,0.0,"0.0",290.0,31.7,,1019.6,,"74486"
"2015-01-06",-5.5,-7.1,-4.9,1.8,"0.0",,13.7,,,,"74486"
"2015-01-07",-5.6,-12.1,-3.8,0.0,"30.0",289.0,34.6,,1017.4,,"74486"
"2015-01-08",-10.1,-13.2,-5.5,0.0,"0.0",277.0,27.7,,1028.3,,"74486"
"2015-01-09",-3.3,-6.0,1.1,1.8,"0.0",251.0,31.7,,1019.3,,"74486"
"2015-01-10",-5.3,-7.7,-4.3,0.0,"30.0",276.0,26.6,,1030.9,,"74486"
"2015-01-11",-3.5,-6.6,3.3,0.0,"30.0",234.0,17.6,,1036.8,,"74486"
"2015-01-12",2.3,1.1,4.4,17.8,"0.0",,9.7,,,,"74486"
"2015-01-13",0.1,-7.1,2.8,0.0,"0.0",357.0,24.5,,1032.9,,"74486"
"2015-01-14",-4.2,-7.1,0.6,0.0,"0.0",23.0,18.7,,1028.9,,"74486"
"2015-01-15",-0.6,-2.7,1.7,0.0,"0.0",303.0,15.8,,1018.8,,"74486"
"2015-01-16",1.3,-6.6,7.2,0.0,"0.0",281.0,29.5,,1013.8,,"74486"
"2015-01-17",-4.9,-7.7,0.0,0.0,"0.0",,16.9,,1027.5,,"74486"
"2015-01-18",2.3,-2.7,8.3,41.1,"0.0",,10.1,,,,"74486"
"2015-01-19",4.3,1.7,7.2,0.0,"0.0",276.0,24.5,,1009.7,,"74486"
"2015-01-20",3.9,0.0,5.0,0.0,"0.0",292.0,19.4,,1013.6,,"74486"
"2015-01-21",0.2,-3.2,3.3,0.0,"0.0",,9.7,,1020.7,,"74486"
"2015-01-22",1.9,-0.5,5.0,0.0,"0.0",,13.0,,,,"74486"
"2015-01-23",0.7,-2.1,3.9,0.0,"0.0",265.0,16.9,,1024.0,,"74486"
"2015-01-24",1.9,0.6,4.4,19.1,"80.0",,18.4,,,,"74486"
"2015-01-25",3.7,0.0,7.2,0.0,"0.0",297.0,24.1,,1007.5,,"74486"
"2015-01-26",-2.0,-4.3,0.0,8.4,"0.0",32.0,29.5,,1013.1,,"74486"
"2015-01-27",-4.0,-6.6,-2.7,7.9,"230.0",345.0,30.6,,1005.3,,"74486"
"2015-01-28",-4.7,-8.2,0.6,0.0,"250.0",331.0,22.3,,1017.7,,"74486"
"2015-01-29",-3.7,-8.2,2.8,0.3,"230.0",,13.3,,1023.9,,"74486"
"2015-01-30",1.9,-7.1,3.3,1.0,"230.0",286.0,30.2,,1012.6,,"74486"
"2015-01-31",-6.2,-9.9,-2.7,0.0,"180.0",311.0,37.1,,1019.7,,"74486"
"2015-02-01",-2.6,-6.0,2.2,0.8,"180.0",248.0,14.0,,1022.0,,"74486"
"2015-02-02",-0.2,-9.3,1.7,30.0,"200.0",16.0,30.6,,1003.7,,"74486"
"2015-02-03",-6.8,-9.9,-3.2,0.0,"200.0",282.0,23.0,,1023.3,,"74486"
"2015-02-04",-0.7,-5.5,3.9,0.0,"200.0",204.0,22.0,,1022.0,,"74486"
"2015-02-05",0.5,-9.3,3.9,0.0,"130.0",310.0,31.7,,1016.1,,"74486"
"2015-02-06",-7.4,-10.5,-2.7,0.0,"130.0",282.0,22.7,,1023.0,,"74486"
"2015-02-07",-1.3,-3.8,2.8,0.0,"100.0",233.0,13.3,,1019.6,,"74486"
"2015-02-08",2.9,-1.6,5.6,0.0,"100.0",,14.0,,1013.5,,"74486"
"2015-02-09",-2.0,-3.2,-1.6,3.6,"50.0",30.0,27.7,,1015.5,,"74486"
"2015-02-10",-1.2,-3.2,4.4,0.0,"50.0",12.0,24.8,,1017.0,,"74486"
"2015-02-11",-1.3,-4.9,1.7,0.0,"50.0",29.0,16.2,,1017.0,,"74486"
"2015-02-12",-0.4,-7.7,4.4,0.0,"30.0",,21.2,,1009.7,,"74486"
"2015-02-13",-7.3,-12.7,-4.9,0.0,"30.0",305.0,30.2,,1019.4,,"74486"
"2015-02-14",-4.3,-8.8,1.7,0.3,"30.0",,16.9,,1009.4,,"74486"
"2015-02-15",-5.9,-14.9,-2.7,0.3,"30.0",312.0,44.6,,1008.2,,"74486"
"2015-02-16",-11.5,-14.9,-4.9,0.0,"30.0",,23.8,,1021.0,,"74486"
"2015-02-17",-6.4,-8.8,-2.7,4.8,"100.0",,11.2,,1013.8,,"74486"
"2015-02-18",-5.2,-9.3,-0.5,0.0,"80.0",,9.4,,1011.0,,"74486"
"2015-02-19",-5.5,-12.7,-2.7,0.0,"50.0",290.0,34.2,,1009.9,,"74486"
"2015-02-20",-11.6,-16.0,-6.0,0.0,"50.0",288.0,30.2,,1024.4,,"74486"
"2015-02-21",-6.3,-11.6,0.6,15.0,"30.0",,15.8,,1029.7,,"74486"
"2015-02-22",1.2,0.0,6.1,5.1,"130.0",,6.5,,1021.7,,"74486"
"2015-02-23",-1.4,-12.7,3.3,0.0,"80.0",312.0,30.6,,1025.5,,"74486"
"2015-02-24",-10.3,-13.8,-2.1,0.0,"80.0",,15.1,,1023.3,,"74486"
"2015-02-25",-2.3,-7.1,2.8,0.0,"50.0",262.0,17.3,,1011.5,,"74486"
"2015-02-26",-2.3,-4.9,0.0,0.0,"50.0",15.0,20.5,,1016.7,,"74486"
"2015-02-27",-3.9,-6.6,0.0,0.0,"50.0",,16.6,,1028.8,,"74486"
"2015-02-28",-4.9,-9.3,-0.5,0.0,"30.0",298.0,13.3,,1041.4,,"74486"
"2015-12-01",8.8,7.8,11.7,7.4,"0.0",64.0,17.6,,1022.0,,"74486"
"2015-12-02",9.9,8.3,13.9,3.0,"0.0",,7.2,,,,"74486"
"2015-12-03",11.1,7.2,13.3,0.0,"0.0",283.0,25.9,,1012.4,,"74486"
"2015-12-04",8.5,5.0,11.7,0.0,"0.0",305.0,16.9,,1030.0,,"74486"
"2015-12-05",7.2,1.7,11.7,0.0,"0.0",302.0,8.6,,1037.9,,"74486"
"2015-12-06",7.0,3.3,10.6,0.0,"0.0",232.0,10.4,,1031.5,,"74486"
"2015-12-07",8.2,4.4,12.8,0.0,"0.0",259.0,12.2,,1020.7,,"74486"
"2015-12-08",7.8,4.4,10.6,0.0,"0.0",,12.6,,1019.5,,"74486"
"2015-12-09",6.9,1.1,12.8,0.0,"0.0",,12.2,,1019.7,,"74486"
"2015-12-10",12.3,8.9,15.0,0.0,"0.0",200.0,10.8,,1015.1,,"74486"
"2015-12-11",11.0,7.8,14.4,0.0,"0.0",,9.7,,1014.2,,"74486"
"2015-12-12",13.2,9.4,17.8,0.0,"0.0",,6.8,,1020.0,,"74486"
"2015-12-13",14.2,11.7,21.1,0.0,"0.0",,11.2,,1020.7,,"74486"
"2015-12-14",12.9,11.7,16.1,9.1,"0.0",140.0,17.3,,1010.8,,"74486"
"2015-12-15",15.7,11.7,17.8,2.3,"0.0",276.0,29.5,,1001.7,,"74486"
