"weather_date","weather_tavg","weather_tmin","weather_tmax","weather_prcp","weather_snow","weather_wdir","weather_wspd","weather_wpgt","weather_pres","weather_tsun","station"
"2016-03-01",7.8,5.0,11.7,0.0,"0.0",92.0,22.3,,1017.0,,"74486"
"2016-03-02",8.2,-1.0,11.7,4.1,"0.0",283.0,37.8,,1006.7,,"74486"
"2016-03-03",-0.2,-2.7,2.8,0.0,"0.0",266.0,19.4,,1023.5,,"74486"
"2016-03-04",0.7,-1.0,3.9,3.3,"30.0",38.0,20.5,,1019.2,,"74486"
"2016-03-05",1.7,-1.6,5.6,0.0,"0.0",314.0,14.8,,1021.9,,"74486"
"2016-03-06",2.7,-0.5,7.2,0.0,"0.0",308.0,10.8,,1025.3,,"74486"
"2016-03-07",5.3,1.7,11.7,0.0,"0.0",205.0,19.8,,1021.9,,"74486"
"2016-03-08",10.5,4.4,16.1,0.0,"0.0",,10.8,,1020.6,,"74486"
"2016-03-09",9.8,5.0,16.7,0.0,"0.0",182.0,8.6,,1019.1,,"74486"
"2016-03-10",14.8,11.7,21.1,0.0,"0.0",207.0,10.1,,1014.8,,"74486"
"2016-03-11",16.3,10.0,20.0,0.5,"0.0",321.0,19.8,,1019.3,,"74486"
"2016-03-12",9.4,4.4,12.2,0.0,"0.0",155.0,13.7,,1023.8,,"74486"
"2016-03-13",12.8,8.3,17.2,0.0,"0.0",287.0,13.0,,1017.5,,"74486"
"2016-03-14",9.0,6.1,10.6,11.9,"0.0",69.0,27.7,,1018.1,,"74486"
"2016-03-15",9.3,7.2,13.9,0.0,"0.0",14.0,18.4,,1009.3,,"74486"
"2016-03-16",10.1,5.6,14.4,0.3,"0.0",,10.4,,1010.5,,"74486"
"2016-03-17",10.7,6.7,17.2,0.0,"0.0",,14.8,,1010.5,,"74486"
"2016-03-18",11.3,6.7,16.1,0.0,"0.0",289.0,26.6,,1010.1,,"74486"
"2016-03-19",6.6,2.2,8.3,0.0,"0.0",320.0,11.5,,1018.7,,"74486"
"2016-03-20",4.2,1.1,7.2,0.8,"0.0",50.0,17.3,,1019.3,,"74486"
"2016-03-21",4.2,0.6,10.6,2.3,"30.0",318.0,24.1,,1011.4,,"74486"
"2016-03-22",6.1,2.2,11.7,0.0,"0.0",238.0,27.0,,1019.7,,"74486"
"2016-03-23",12.9,7.2,22.2,0.0,"0.0",214.0,15.8,,1015.0,,"74486"
"2016-03-24",9.6,7.2,13.3,0.0,"0.0",70.0,20.9,,1017.1,,"74486"
"2016-03-25",11.1,7.2,20.0,0.0,"0.0",183.0,19.8,,1008.7,,"74486"
"2016-03-26",8.5,3.3,11.1,0.0,"0.0",67.0,17.3,,1025.3,,"74486"
"2016-03-27",6.8,4.4,9.4,0.0,"0.0",96.0,15.8,,1027.8,,"74486"
"2016-03-28",9.2,6.1,17.8,12.2,"0.0",11.0,26.3,,1007.3,,"74486"
"2016-03-29",10.4,4.4,12.8,0.0,"0.0",302.0,39.6,,1013.3,,"74486"
"2016-03-30",6.4,2.2,9.4,0.0,"0.0",197.0,19.4,,1026.2,,"74486"
"2016-03-31",11.4,7.8,18.3,0.0,"0.0",187.0,33.1,,1015.7,,"74486"
"2016-04-01",13.2,11.1,18.9,0.5,"0.0",188.0,23.8,,1003.7,,"74486"
"2016-04-02",11.8,8.3,15.6,6.9,"0.0",141.0,18.0,,1000.0,,"74486"
