"weather_date","weather_tavg","weather_tmin","weather_tmax","weather_prcp","weather_snow","weather_wdir","weather_wspd","weather_wpgt","weather_pres","weather_tsun","station"
"2016-03-01",21.1,16.7,26.7,0.0,,,8.3,,1019.9,"626.0","72202"
"2016-03-02",22.8,17.8,28.3,0.0,,,6.1,,1018.7,"647.0","72202"
"2016-03-03",23.4,20.0,27.2,0.0,,147.0,9.0,,1017.4,"500.0","72202"
"2016-03-04",24.3,21.1,29.4,0.0,,266.0,9.4,,1015.5,"606.0","72202"
"2016-03-05",22.6,18.3,25.6,0.3,,26.0,12.6,,1017.3,"615.0","72202"
"2016-03-06",22.5,18.3,27.2,0.0,,357.0,12.2,,1019.1,"676.0","72202"
"2016-03-07",21.6,18.3,25.6,0.0,,77.0,21.6,,1022.9,"659.0","72202"
"2016-03-08",23.1,21.1,26.7,0.0,,98.0,25.9,,1022.8,"562.0","72202"
"2016-03-09",23.8,22.2,27.2,0.0,,108.0,27.4,,1022.3,"614.0","72202"
"2016-03-10",24.3,22.8,28.9,0.0,,113.0,27.4,,1022.6,"659.0","72202"
"2016-03-11",24.2,22.2,27.2,0.0,,107.0,22.3,,1022.4,"669.0","72202"
"2016-03-12",24.6,22.8,27.2,0.0,,118.0,19.8,,1020.5,"674.0","72202"
"2016-03-13",24.7,22.8,29.4,0.0,,158.0,13.3,,1017.7,"549.0","72202"
"2016-03-14",25.2,21.7,30.0,0.0,,187.0,12.2,,1017.0,"656.0","72202"
"2016-03-15",25.4,21.1,31.1,0.3,,,7.9,,1016.7,"610.0","72202"
"2016-03-16",25.3,21.7,30.6,0.0,,,7.9,,1017.3,"616.0","72202"
"2016-03-17",24.9,21.1,30.6,0.0,,,7.6,,1016.5,"654.0","72202"
"2016-03-18",25.5,20.6,31.7,0.0,,,7.6,,1014.8,"651.0","72202"
"2016-03-19",26.4,23.3,31.1,0.0,,,13.0,,1012.7,"644.0","72202"
"2016-03-20",25.5,22.2,30.0,4.6,,216.0,15.5,,1012.5,"467.0","72202"
"2016-03-21",19.9,14.4,23.3,0.3,,325.0,18.0,,1019.0,"609.0","72202"
"2016-03-22",17.9,13.9,24.4,0.0,,38.0,17.6,,1024.8,"691.0","72202"
"2016-03-23",23.1,19.4,27.2,0.0,,97.0,19.4,,1022.8,"681.0","72202"
"2016-03-24",24.7,23.3,27.8,0.8,,119.0,19.1,,1018.1,"573.0","72202"
"2016-03-25",26.1,24.4,30.6,0.0,,151.0,11.5,,1015.8,"556.0","72202"
"2016-03-26",26.5,22.8,30.6,0.0,,123.0,15.5,,1018.6,"679.0","72202"
"2016-03-27",26.1,23.9,29.4,0.0,,131.0,16.9,,1019.5,"655.0","72202"
"2016-03-28",26.9,23.3,32.8,0.0,,232.0,8.3,,1018.1,"674.0","72202"
"2016-03-29",26.3,20.6,31.1,0.5,,8.0,8.3,,1017.5,"544.0","72202"
"2016-03-30",23.1,21.1,26.7,8.9,,63.0,14.8,,1017.3,"630.0","72202"
"2016-03-31",25.9,23.9,30.0,0.0,,125.0,17.6,,1015.6,"699.0","72202"
"2016-04-01",27.1,24.4,31.7,0.0,,144.0,15.8,,1014.7,"709.0","72202"
"2016-04-02",27.6,25.0,32.8,1.0,,198.0,15.1,,1013.4,"620.0","72202"
"2016-04-03",25.4,21.7,27.2,0.0,,1.0,11.9,,1015.8,"599.0","72202"
"2016-04-04",23.2,20.0,28.3,0.3,,30.0,7.6,,1017.9,"607.0","72202"
"2016-04-05",23.6,19.4,29.4,0.0,,,9.0,,1018.6,"720.0","72202"
"2016-04-06",22.9,18.3,26.1,0.0,,58.0,19.8,,1019.3,"592.0","72202"
"2016-04-07",24.6,20.6,29.4,2.5,,255.0,10.1,,1015.0,"692.0","72202"
"2016-04-08",24.2,20.0,28.9,0.0,,285.0,9.4,,1015.4,"728.0","72202"
"2016-04-09",23.2,19.4,27.2,0.0,,3.0,12.2,,1017.6,"729.0","72202"
"2016-04-10",22.3,18.3,26.7,0.0,,57.0,18.4,,1021.6,"714.0","72202"
"2016-04-11",24.2,21.7,27.8,0.0,,81.0,22.3,,1021.4,"719.0","72202"
"2016-04-12",24.2,20.0,28.9,0.0,,100.0,11.9,,1019.3,"724.0","72202"
"2016-04-13",24.8,20.6,28.9,0.0,,,10.8,,1017.4,"718.0","72202"
"2016-04-14",25.2,21.7,29.4,0.0,,130.0,9.4,,1015.1,"694.0","72202"
"2016-04-15",26.2,21.1,30.6,22.9,,140.0,12.2,,1013.6,"696.0","72202"
"2016-04-16",23.5,20.6,28.3,0.0,,50.0,14.4,,1015.2,"663.0","72202"
"2016-04-17",24.1,21.1,26.7,0.3,,55.0,19.8,,1019.5,"716.0","72202"
"2016-04-18",23.0,19.4,27.2,0.0,,36.0,14.8,,1020.8,"712.0","72202"
"2016-04-19",23.2,19.4,27.2,0.0,,44.0,15.5,,1019.5,"738.0","72202"
"2016-04-20",23.8,20.6,27.8,0.0,,81.0,18.7,,1018.0,"662.0","72202"
"2016-04-21",24.3,22.2,27.8,0.0,,102.0,23.4,,1017.7,"718.0","72202"
"2016-04-22",25.2,23.3,28.3,0.8,,128.0,18.7,,1016.9,"695.0","72202"
"2016-04-23",26.2,22.8,31.7,0.0,,253.0,11.5,,1013.8,"730.0","72202"
"2016-04-24",25.1,20.0,30.0,0.0,,23.0,16.2,,1014.6,"749.0","72202"
"2016-04-25",25.6,22.8,29.4,0.0,,97.0,18.4,,1015.5,"685.0","72202"
"2016-04-26",24.9,21.1,28.3,0.0,,116.0,14.8,,1014.3,"743.0","72202"
"2016-04-27",25.1,21.7,28.9,0.0,,114.0,14.0,,1013.6,"748.0","72202"
"2016-04-28",26.1,23.3,30.0,0.0,,121.0,13.7,,1015.1,"733.0","72202"
"2016-04-29",26.5,23.3,30.6,0.0,,115.0,11.2,,1015.3,"719.0","72202"
"2016-04-30",26.0,23.3,28.9,0.0,,98.0,19.8,,1014.7,"744.0","72202"
"2016-05-01",26.7,24.4,30.0,0.0,,102.0,19.8,,1015.9,"743.0","72202"
"2016-05-02",27.3,25.6,30.6,0.0,,114.0,21.6,,1016.1,"736.0","72202"
"2016-05-03",27.1,23.3,32.2,15.5,,153.0,14.8,,1014.1,"668.0","72202"
